申請ID,申請日,申請者社員ID,案件コード,変更種別,影響度,ステータス
B0970,2025-04-07,E105,P003,図面修正,中,承認済
B0971,2025-02-19,E102,P005,コスト変更,高,承認済
B0972,2025-01-12,E108,P001,仕様変更,低,承認済
B0973,2025-02-28,E105,P001,部品変更,中,却下
B0974,2025-11-11,E106,P004,コスト変更,中,承認待ち
B0975,2025-11-06,E106,P002,部品変更,低,却下
B0976,2025-06-27,E106,P002,図面修正,低,承認待ち
B0977,2025-03-01,E102,P006,仕様変更,高,却下
B0978,2025-11-14,E103,P001,部品変更,低,却下
B0979,2025-08-26,E108,P004,部品変更,中,却下
B0980,2025-09-27,E106,P004,図面修正,高,承認待ち
B0981,2025-07-20,E102,P005,コスト変更,低,承認待ち
B0982,2025-12-17,E105,P004,図面修正,高,申請中
B0983,2025-10-16,E105,P001,コスト変更,低,申請中
B0984,2025-03-24,E108,P003,コスト変更,低,申請中
B0985,2025-09-20,E102,P002,コスト変更,低,申請中
B0986,2025-11-21,E108,P005,図面修正,低,申請中
B0987,2025-06-18,E102,P004,コスト変更,低,却下
B0988,2025-10-24,E105,P004,図面修正,中,承認済
B0989,2025-03-02,E108,P006,図面修正,低,承認済
B0990,2025-01-21,E106,P005,部品変更,低,申請中
B0991,2025-11-10,E108,P001,図面修正,中,申請中
B0992,2025-03-17,E102,P003,図面修正,高,承認済
B0993,2025-05-28,E105,P001,仕様変更,低,承認待ち
B0994,2025-10-24,E103,P006,コスト変更,中,承認待ち
B0995,2025-05-26,E103,P004,部品変更,低,申請中
B0996,2025-06-03,E103,P005,部品変更,中,却下
B0997,2025-07-08,E106,P006,部品変更,高,承認済
B0998,2025-01-21,E105,P001,仕様変更,高,却下
B0999,2025-07-16,E105,P004,部品変更,中,却下
B1000,2025-08-09,E103,P005,コスト変更,高,承認済
B1001,2025-08-13,E105,P005,仕様変更,高,承認済
B1002,2025-07-20,E105,P003,図面修正,中,申請中
B1003,2025-05-21,E108,P004,コスト変更,低,承認待ち
B1004,2025-12-22,E108,P002,図面修正,低,承認待ち
B1005,2025-06-18,E102,P006,仕様変更,高,申請中
B1006,2025-07-04,E108,P001,コスト変更,中,承認待ち
B1007,2025-12-10,E105,P002,仕様変更,高,申請中
B1008,2025-01-20,E103,P005,仕様変更,低,申請中
B1009,2025-02-28,E108,P002,コスト変更,低,承認待ち
B1010,2025-02-23,E103,P003,図面修正,中,申請中
B1011,2025-11-15,E105,P004,図面修正,中,承認待ち
B1012,2025-02-09,E102,P004,コスト変更,中,申請中
B1013,2025-05-27,E105,P002,コスト変更,高,却下
B1014,2025-04-20,E106,P002,コスト変更,高,承認待ち
B1015,2025-09-25,E106,P002,仕様変更,中,承認済
B1016,2025-02-02,E102,P001,図面修正,中,申請中
B1017,2025-08-05,E102,P001,コスト変更,中,承認待ち
B1018,2025-12-11,E106,P005,仕様変更,低,却下
B1019,2025-08-14,E106,P006,仕様変更,低,承認待ち
B1020,2025-01-13,E106,P001,図面修正,中,承認済
B1021,2025-07-02,E102,P003,図面修正,高,却下
B1022,2025-05-21,E103,P002,仕様変更,中,承認待ち
B1023,2025-05-23,E106,P001,図面修正,中,申請中
B1024,2025-11-15,E103,P002,仕様変更,高,申請中
B1025,2025-12-19,E103,P004,コスト変更,高,承認済
B1026,2025-08-18,E106,P001,仕様変更,中,申請中
B1027,2025-06-26,E102,P004,仕様変更,高,却下
B1028,2025-11-28,E108,P002,部品変更,高,申請中
B1029,2025-12-05,E106,P006,仕様変更,中,申請中
B1030,2025-04-23,E103,P001,部品変更,低,申請中
B1031,2025-05-27,E102,P004,部品変更,低,申請中
B1032,2025-02-04,E106,P005,部品変更,高,承認待ち
B1033,2025-07-11,E106,P003,仕様変更,低,承認待ち
B1034,2025-06-27,E103,P001,部品変更,中,申請中
B1035,2025-02-09,E103,P004,部品変更,低,承認済
B1036,2025-09-06,E106,P002,仕様変更,高,申請中
B1037,2025-11-20,E106,P002,仕様変更,中,申請中
B1038,2025-01-01,E103,P001,図面修正,中,却下
B1039,2025-12-05,E103,P002,図面修正,低,却下
B1040,2025-07-08,E103,P005,仕様変更,低,承認待ち
B1041,2025-12-16,E108,P001,図面修正,中,却下
B1042,2025-01-18,E103,P002,仕様変更,低,申請中
B1043,2025-10-12,E108,P005,部品変更,中,承認待ち
B1044,2025-05-02,E103,P001,部品変更,低,却下
B1045,2025-08-06,E103,P006,仕様変更,高,承認済
B1046,2025-05-07,E106,P003,図面修正,低,却下
B1047,2025-01-04,E102,P005,部品変更,高,申請中
B1048,2025-08-17,E102,P001,部品変更,低,却下
B1049,2025-10-19,E105,P004,部品変更,低,承認済
B1050,2025-04-25,E102,P003,部品変更,高,承認待ち
B1051,2025-12-14,E103,P004,部品変更,高,却下
B1052,2025-10-16,E102,P004,部品変更,高,却下
B1053,2025-03-13,E105,P002,コスト変更,低,承認待ち
B1054,2025-11-12,E105,P002,図面修正,高,申請中
B1055,2025-12-19,E102,P003,部品変更,高,却下
B1056,2025-08-14,E103,P003,部品変更,中,承認待ち
B1057,2025-11-20,E103,P005,部品変更,高,却下
B1058,2025-09-16,E103,P005,コスト変更,中,承認済
B1059,2025-01-24,E106,P006,部品変更,高,承認済
B1060,2025-07-19,E103,P005,部品変更,低,申請中
B1061,2025-07-02,E102,P004,仕様変更,中,却下
B1062,2025-08-26,E102,P004,コスト変更,高,申請中
B1063,2025-09-25,E102,P006,コスト変更,高,承認待ち
B1064,2025-06-10,E103,P006,仕様変更,高,却下
B1065,2025-11-10,E103,P006,コスト変更,低,申請中
B1066,2025-08-15,E103,P006,コスト変更,高,承認済
B1067,2025-11-15,E102,P006,仕様変更,中,承認済
B1068,2025-09-02,E105,P004,図面修正,低,承認待ち
B1069,2025-11-03,E108,P003,仕様変更,低,承認済
B1070,2025-01-04,E106,P003,コスト変更,低,申請中
B1071,2025-06-12,E103,P006,仕様変更,低,承認待ち
B1072,2025-03-11,E103,P005,仕様変更,低,却下
B1073,2025-12-25,E108,P006,部品変更,低,承認待ち
B1074,2025-06-12,E105,P005,コスト変更,中,申請中
B1075,2025-02-12,E105,P004,コスト変更,低,申請中
B1076,2025-08-23,E108,P006,図面修正,中,承認済
B1077,2025-11-23,E102,P002,コスト変更,高,申請中
B1078,2025-07-06,E105,P001,仕様変更,高,承認済
B1079,2025-02-23,E103,P004,部品変更,高,申請中
B1080,2025-05-14,E108,P002,コスト変更,中,却下
B1081,2025-08-24,E102,P003,部品変更,高,申請中
B1082,2025-04-27,E108,P006,図面修正,中,承認済
B1083,2025-11-21,E105,P004,コスト変更,中,承認済
B1084,2025-10-05,E105,P002,図面修正,高,却下
B1085,2025-06-10,E102,P002,図面修正,中,却下
B1086,2025-03-20,E103,P006,図面修正,高,承認待ち
B1087,2025-12-23,E103,P002,部品変更,高,申請中
B1088,2025-06-19,E103,P004,図面修正,中,承認待ち
B1089,2025-04-18,E102,P006,図面修正,中,承認待ち
B1090,2025-06-15,E108,P002,図面修正,高,申請中
B1091,2025-07-16,E103,P004,図面修正,高,申請中
B1092,2025-12-18,E108,P003,図面修正,中,承認済
B1093,2025-10-22,E103,P005,コスト変更,中,申請中
B1094,2025-12-16,E102,P002,仕様変更,中,申請中
B1095,2025-07-20,E103,P004,図面修正,高,承認済
B1096,2025-01-20,E103,P005,部品変更,中,承認待ち
B1097,2025-01-03,E108,P004,仕様変更,低,却下
B1098,2025-04-16,E105,P005,仕様変更,低,承認済
B1099,2025-07-05,E106,P003,コスト変更,中,申請中
B1100,2025-05-12,E105,P003,コスト変更,低,申請中
B1101,2025-04-24,E106,P006,コスト変更,中,承認済
B1102,2025-03-26,E106,P006,コスト変更,高,申請中
B1103,2025-03-07,E105,P004,図面修正,高,却下
B1104,2025-02-01,E106,P006,図面修正,中,承認待ち
B1105,2025-09-15,E108,P002,部品変更,高,却下
B1106,2025-05-18,E106,P001,図面修正,低,承認済
B1107,2025-08-18,E106,P002,仕様変更,高,承認待ち
B1108,2025-05-10,E106,P001,図面修正,中,承認待ち
B1109,2025-08-23,E103,P001,仕様変更,中,却下
B1110,2025-02-20,E105,P005,コスト変更,低,却下
B1111,2025-05-21,E106,P006,仕様変更,中,申請中
B1112,2025-05-06,E108,P001,部品変更,中,却下
B1113,2025-12-05,E105,P002,仕様変更,中,承認済
B1114,2025-07-21,E105,P001,図面修正,中,申請中
B1115,2025-09-07,E103,P001,部品変更,低,承認済
B1116,2025-06-27,E105,P003,図面修正,高,承認済
B1117,2025-03-01,E103,P005,図面修正,中,却下
B1118,2025-07-11,E103,P001,部品変更,高,承認待ち
B1119,2025-04-26,E108,P005,仕様変更,中,却下
B1120,2025-02-04,E103,P001,コスト変更,中,承認済
B1121,2025-12-12,E103,P004,図面修正,高,承認済
B1122,2025-01-24,E102,P002,部品変更,低,承認待ち
B1123,2025-12-08,E105,P002,部品変更,高,申請中
B1124,2025-07-23,E102,P001,仕様変更,中,却下
B1125,2025-01-07,E102,P001,仕様変更,中,申請中
B1126,2025-05-02,E102,P003,仕様変更,高,申請中
B1127,2025-10-07,E108,P002,部品変更,低,承認済
B1128,2025-01-03,E103,P006,図面修正,低,承認済
B1129,2025-06-06,E108,P006,部品変更,低,申請中
B1130,2025-02-27,E108,P001,部品変更,低,承認待ち
B1131,2025-05-06,E108,P001,仕様変更,高,却下
B1132,2025-06-23,E108,P002,コスト変更,低,申請中
B1133,2025-03-27,E105,P004,コスト変更,高,承認待ち
B1134,2025-07-04,E105,P001,コスト変更,高,承認待ち
B1135,2025-08-25,E105,P006,図面修正,低,申請中
B1136,2025-02-11,E106,P001,コスト変更,中,却下
B1137,2025-10-24,E105,P006,コスト変更,高,却下
B1138,2025-05-28,E106,P002,仕様変更,中,承認済
B1139,2025-03-01,E106,P006,仕様変更,中,却下
B1140,2025-09-22,E102,P001,部品変更,中,却下
B1141,2025-12-19,E102,P006,部品変更,高,承認済
B1142,2025-04-11,E103,P005,コスト変更,高,承認待ち
B1143,2025-07-24,E106,P003,図面修正,低,却下
B1144,2025-06-16,E108,P004,コスト変更,低,承認済
B1145,2025-03-25,E106,P001,仕様変更,中,却下
B1146,2025-08-08,E103,P001,仕様変更,低,申請中
B1147,2025-02-16,E102,P002,コスト変更,低,承認済
B1148,2025-03-10,E108,P005,仕様変更,高,却下
B1149,2025-08-07,E105,P006,コスト変更,中,承認済
B1150,2025-09-11,E108,P005,仕様変更,高,却下
B1151,2025-02-13,E106,P003,コスト変更,中,却下
B1152,2025-01-02,E103,P005,図面修正,低,承認待ち
B1153,2025-08-14,E103,P003,コスト変更,中,申請中
B1154,2025-10-22,E106,P006,コスト変更,中,承認待ち
B1155,2025-09-02,E106,P003,コスト変更,低,却下
B1156,2025-10-22,E105,P003,図面修正,高,申請中
B1157,2025-10-02,E103,P003,図面修正,低,申請中
B1158,2025-11-11,E106,P001,コスト変更,中,承認済
B1159,2025-07-12,E102,P006,部品変更,高,承認待ち
B1160,2025-11-10,E108,P001,仕様変更,中,申請中
B1161,2025-06-06,E102,P005,図面修正,高,却下
B1162,2025-11-28,E106,P005,コスト変更,中,申請中
B1163,2025-12-16,E108,P001,図面修正,中,却下
B1164,2025-06-19,E102,P004,仕様変更,低,承認待ち
B1165,2025-06-16,E108,P006,図面修正,高,承認済
B1166,2025-06-14,E103,P004,仕様変更,低,承認待ち
B1167,2025-05-09,E102,P003,コスト変更,高,申請中
B1168,2025-12-28,E108,P001,図面修正,中,申請中
B1169,2025-10-26,E108,P004,コスト変更,高,承認済
B1170,2025-02-21,E105,P005,図面修正,中,承認済
B1171,2025-04-14,E106,P003,コスト変更,低,承認待ち
B1172,2025-01-21,E108,P002,コスト変更,高,却下
B1173,2025-05-21,E108,P005,コスト変更,低,申請中
B1174,2025-09-07,E105,P004,部品変更,高,承認待ち
B1175,2025-12-22,E105,P004,コスト変更,中,申請中
B1176,2025-11-07,E106,P003,図面修正,低,承認待ち
B1177,2025-05-22,E108,P002,コスト変更,高,申請中
B1178,2025-03-07,E102,P002,図面修正,中,却下
B1179,2025-09-14,E106,P006,仕様変更,高,承認待ち
B1180,2025-05-05,E102,P003,図面修正,低,承認待ち
B1181,2025-11-28,E102,P006,コスト変更,高,申請中
B1182,2025-02-11,E108,P003,仕様変更,中,承認済
B1183,2025-11-22,E102,P004,部品変更,高,申請中
B1184,2025-10-24,E108,P001,図面修正,中,申請中
B1185,2025-04-20,E102,P003,図面修正,低,却下
B1186,2025-12-24,E103,P004,部品変更,高,申請中
B1187,2025-03-07,E105,P004,コスト変更,中,申請中
B1188,2025-08-18,E105,P006,仕様変更,中,却下
B1189,2025-08-22,E103,P003,部品変更,中,却下
B1190,2025-12-12,E105,P001,仕様変更,低,申請中
B1191,2025-12-26,E103,P003,コスト変更,中,承認済
B1192,2025-11-04,E108,P002,コスト変更,中,申請中
B1193,2025-07-09,E105,P001,部品変更,中,承認待ち
B1194,2025-03-15,E105,P006,コスト変更,高,承認済
B1195,2025-02-27,E106,P004,コスト変更,中,却下
B1196,2025-02-27,E103,P006,図面修正,低,申請中
B1197,2025-06-14,E108,P006,図面修正,中,申請中
B1198,2025-01-21,E103,P006,コスト変更,低,承認待ち
B1199,2025-01-13,E103,P006,図面修正,中,申請中
B1200,2025-02-06,E103,P005,部品変更,低,却下
B1201,2025-06-15,E106,P006,部品変更,中,承認待ち
B1202,2025-11-19,E105,P003,部品変更,高,却下
B1203,2025-06-06,E106,P004,部品変更,高,申請中
B1204,2025-09-21,E108,P006,部品変更,高,却下
B1205,2025-04-09,E103,P001,コスト変更,低,却下
B1206,2025-10-09,E103,P001,図面修正,高,申請中
B1207,2025-01-23,E108,P004,コスト変更,低,却下
B1208,2025-02-08,E103,P002,図面修正,中,却下
B1209,2025-07-05,E106,P002,部品変更,中,承認待ち
B1210,2025-07-06,E106,P002,仕様変更,中,承認済
B1211,2025-04-20,E106,P002,図面修正,低,却下
B1212,2025-02-01,E106,P002,図面修正,低,却下
B1213,2025-11-07,E106,P006,コスト変更,低,承認済
B1214,2025-02-04,E108,P001,仕様変更,中,承認待ち
B1215,2025-08-12,E108,P006,仕様変更,高,承認済
B1216,2025-09-20,E106,P003,コスト変更,低,承認済
B1217,2025-03-18,E102,P005,部品変更,中,承認待ち
B1218,2025-09-16,E105,P004,部品変更,高,承認済
B1219,2025-12-17,E106,P002,図面修正,高,承認済
B1220,2025-01-05,E106,P003,図面修正,中,承認済
B1221,2025-05-20,E105,P005,図面修正,中,承認待ち
B1222,2025-06-24,E106,P002,コスト変更,高,承認待ち
B1223,2025-03-02,E103,P002,仕様変更,中,承認済
B1224,2025-03-23,E106,P004,仕様変更,中,申請中
B1225,2025-08-12,E108,P004,コスト変更,中,申請中
B1226,2025-12-28,E103,P001,図面修正,高,承認待ち
B1227,2025-05-06,E103,P006,図面修正,低,承認待ち
B1228,2025-10-01,E108,P005,部品変更,中,申請中
B1229,2025-04-25,E106,P006,仕様変更,中,申請中
B1230,2025-05-22,E102,P004,図面修正,低,申請中
B1231,2025-06-05,E102,P001,コスト変更,低,却下
B1232,2025-08-21,E105,P005,仕様変更,中,申請中
B1233,2025-11-20,E106,P003,部品変更,高,申請中
B1234,2025-11-10,E105,P001,仕様変更,低,却下
B1235,2025-02-13,E105,P002,部品変更,中,申請中
B1236,2025-01-28,E103,P002,コスト変更,中,承認済
B1237,2025-11-25,E103,P001,図面修正,中,却下
B1238,2025-12-26,E105,P006,部品変更,中,申請中
B1239,2025-06-17,E103,P004,コスト変更,中,却下
B1240,2025-05-19,E108,P004,仕様変更,中,承認済
B1241,2025-10-06,E106,P006,コスト変更,高,申請中
B1242,2025-09-11,E106,P006,部品変更,低,承認待ち
B1243,2025-08-17,E108,P001,図面修正,中,却下
B1244,2025-02-26,E106,P003,部品変更,高,承認済
B1245,2025-04-17,E106,P003,仕様変更,低,申請中
B1246,2025-01-17,E102,P005,コスト変更,中,申請中
B1247,2025-08-22,E108,P003,図面修正,中,申請中
B1248,2025-09-01,E102,P006,コスト変更,高,承認待ち
B1249,2025-07-02,E102,P004,図面修正,中,却下
B1250,2025-11-15,E108,P003,図面修正,高,承認待ち
B1251,2025-03-03,E108,P003,仕様変更,中,申請中
B1252,2025-01-13,E102,P001,部品変更,低,却下
B1253,2025-08-23,E106,P006,コスト変更,中,承認済
B1254,2025-12-22,E106,P003,仕様変更,高,承認待ち
B1255,2025-01-07,E102,P001,部品変更,高,承認待ち
B1256,2025-08-21,E103,P006,部品変更,中,承認待ち
B1257,2025-02-10,E106,P002,コスト変更,中,申請中
B1258,2025-02-06,E103,P006,コスト変更,中,却下
B1259,2025-01-28,E106,P005,部品変更,高,承認済
B1260,2025-10-27,E106,P001,図面修正,高,申請中
B1261,2025-11-28,E106,P004,コスト変更,低,承認済
B1262,2025-01-16,E106,P004,コスト変更,高,申請中
B1263,2025-09-01,E106,P005,図面修正,低,申請中
B1264,2025-05-21,E106,P004,仕様変更,中,承認済
B1265,2025-08-23,E106,P001,部品変更,中,承認待ち
B1266,2025-08-12,E106,P002,部品変更,低,承認済
B1267,2025-10-28,E106,P002,図面修正,低,却下
B1268,2025-07-27,E105,P004,部品変更,低,承認待ち
B1269,2025-05-23,E102,P006,コスト変更,高,承認待ち
B1270,2025-04-06,E108,P004,仕様変更,中,却下
B1271,2025-05-08,E103,P005,仕様変更,高,承認済
B1272,2025-05-12,E103,P002,仕様変更,高,承認済
B1273,2025-07-04,E108,P002,仕様変更,低,承認待ち
B1274,2025-08-09,E105,P003,仕様変更,低,承認済
B1275,2025-03-28,E108,P005,仕様変更,低,申請中
B1276,2025-08-26,E106,P001,仕様変更,低,申請中
B1277,2025-09-02,E108,P001,部品変更,低,申請中
B1278,2025-04-12,E103,P006,図面修正,低,却下
B1279,2025-09-16,E102,P002,図面修正,中,承認待ち
B1280,2025-02-28,E103,P004,コスト変更,高,承認待ち
B1281,2025-08-11,E105,P005,部品変更,高,承認済
B1282,2025-06-23,E106,P003,部品変更,高,却下
B1283,2025-04-05,E106,P004,コスト変更,中,承認済
B1284,2025-01-15,E103,P001,仕様変更,高,承認済
B1285,2025-06-13,E103,P004,仕様変更,中,申請中
B1286,2025-11-21,E103,P005,仕様変更,低,承認済
B1287,2025-07-13,E108,P003,図面修正,中,申請中
B1288,2025-05-17,E108,P002,コスト変更,中,承認待ち
B1289,2025-09-20,E108,P006,コスト変更,低,承認済
B1290,2025-11-13,E103,P003,仕様変更,高,承認済
B1291,2025-07-24,E103,P005,図面修正,高,申請中
B1292,2025-09-18,E105,P005,図面修正,低,承認待ち
B1293,2025-01-01,E108,P005,図面修正,高,承認済
B1294,2025-12-14,E108,P001,仕様変更,中,承認済
B1295,2025-11-17,E105,P001,仕様変更,低,申請中
B1296,2025-08-10,E108,P006,仕様変更,中,承認済
B1297,2025-04-26,E108,P005,部品変更,中,承認済
B1298,2025-05-22,E108,P006,部品変更,低,却下
B1299,2025-09-24,E103,P001,図面修正,低,承認待ち
B1300,2025-06-15,E102,P002,コスト変更,中,申請中
B1301,2025-02-02,E106,P002,コスト変更,高,却下
B1302,2025-02-12,E108,P004,コスト変更,中,却下
B1303,2025-11-14,E106,P006,コスト変更,低,却下
B1304,2025-03-05,E108,P002,コスト変更,低,却下
B1305,2025-03-23,E108,P005,仕様変更,低,承認待ち
B1306,2025-08-16,E102,P006,部品変更,低,承認済
B1307,2025-02-20,E106,P001,仕様変更,中,承認済
B1308,2025-01-17,E103,P001,図面修正,中,承認済
B1309,2025-05-10,E106,P001,部品変更,高,却下
B1310,2025-01-10,E105,P002,部品変更,低,却下
B1311,2025-01-04,E108,P003,仕様変更,高,却下
B1312,2025-08-19,E105,P005,コスト変更,中,却下
B1313,2025-08-27,E108,P002,部品変更,低,却下
B1314,2025-08-22,E106,P002,図面修正,高,却下
B1315,2025-07-08,E106,P003,仕様変更,低,却下
B1316,2025-12-09,E102,P002,仕様変更,低,承認済
B1317,2025-09-21,E102,P006,仕様変更,高,申請中
B1318,2025-10-17,E103,P004,仕様変更,高,承認待ち
B1319,2025-01-09,E103,P002,コスト変更,高,承認済
B1320,2025-07-19,E102,P004,仕様変更,中,却下
B1321,2025-03-14,E102,P005,図面修正,中,承認済
B1322,2025-02-04,E102,P005,部品変更,中,承認待ち
B1323,2025-03-09,E102,P002,図面修正,中,承認待ち
B1324,2025-01-20,E105,P002,仕様変更,低,申請中
B1325,2025-05-13,E102,P003,部品変更,中,承認済
B1326,2025-05-13,E102,P001,部品変更,高,承認待ち
B1327,2025-08-17,E108,P004,仕様変更,中,申請中
B1328,2025-06-15,E108,P004,仕様変更,中,申請中
B1329,2025-07-21,E103,P001,図面修正,低,申請中
B1330,2025-04-25,E108,P006,部品変更,中,却下
B1331,2025-08-03,E108,P002,部品変更,中,承認待ち
B1332,2025-04-18,E106,P005,コスト変更,高,申請中
B1333,2025-08-27,E108,P003,部品変更,高,申請中
B1334,2025-08-09,E108,P003,コスト変更,中,承認待ち
B1335,2025-10-27,E108,P003,仕様変更,高,申請中
B1336,2025-05-03,E106,P006,仕様変更,高,承認済
B1337,2025-07-07,E108,P005,図面修正,低,承認済
B1338,2025-11-09,E106,P003,部品変更,低,承認済
B1339,2025-06-07,E106,P005,図面修正,高,承認待ち
B1340,2025-11-01,E108,P004,仕様変更,高,承認待ち
B1341,2025-07-18,E106,P004,仕様変更,低,申請中
B1342,2025-09-01,E106,P006,仕様変更,中,却下
B1343,2025-10-12,E106,P002,仕様変更,高,却下
B1344,2025-06-07,E106,P001,部品変更,低,申請中
B1345,2025-05-22,E105,P002,仕様変更,低,承認済
B1346,2025-12-08,E103,P004,図面修正,高,承認済
B1347,2025-08-23,E108,P002,仕様変更,高,却下
B1348,2025-02-28,E105,P005,コスト変更,高,承認待ち
B1349,2025-11-24,E108,P006,部品変更,高,承認待ち
B1350,2025-12-03,E103,P003,部品変更,低,承認済
B1351,2025-04-28,E102,P006,図面修正,低,却下
B1352,2025-01-14,E102,P003,コスト変更,中,承認済
B1353,2025-02-22,E108,P004,コスト変更,中,申請中
B1354,2025-12-08,E102,P003,コスト変更,低,却下
B1355,2025-06-01,E106,P002,図面修正,高,申請中
B1356,2025-12-08,E106,P001,部品変更,高,承認待ち
B1357,2025-06-10,E102,P006,仕様変更,高,却下
B1358,2025-07-26,E102,P005,図面修正,中,承認待ち
B1359,2025-02-16,E103,P003,仕様変更,中,承認待ち
B1360,2025-02-25,E108,P005,コスト変更,高,却下
B1361,2025-10-04,E102,P001,仕様変更,中,承認済
B1362,2025-12-03,E103,P001,コスト変更,高,承認済
B1363,2025-10-21,E106,P001,仕様変更,低,申請中
B1364,2025-09-02,E105,P004,コスト変更,高,却下
B1365,2025-04-28,E108,P006,仕様変更,中,却下
B1366,2025-08-26,E106,P005,仕様変更,中,申請中
B1367,2025-08-17,E105,P005,部品変更,高,申請中
B1368,2025-01-20,E102,P005,部品変更,低,承認待ち
B1369,2025-11-17,E105,P003,コスト変更,中,却下
B1370,2025-03-08,E103,P001,仕様変更,高,承認済
B1371,2025-10-14,E108,P006,図面修正,中,承認待ち
B1372,2025-03-16,E105,P005,図面修正,中,承認済
B1373,2025-01-17,E108,P006,部品変更,高,承認待ち
B1374,2025-09-27,E108,P001,コスト変更,中,承認待ち
B1375,2025-04-21,E103,P001,図面修正,高,却下
B1376,2025-12-23,E106,P005,図面修正,低,承認済
B1377,2025-10-10,E106,P003,部品変更,高,却下
B1378,2025-01-16,E103,P001,部品変更,低,承認待ち
B1379,2025-08-20,E103,P002,コスト変更,低,承認済
B1380,2025-12-13,E103,P004,部品変更,高,承認済
B1381,2025-01-03,E105,P001,仕様変更,高,承認済
B1382,2025-08-07,E108,P003,仕様変更,高,承認待ち
B1383,2025-04-10,E103,P002,図面修正,低,承認待ち
B1384,2025-06-28,E108,P002,部品変更,高,申請中
B1385,2025-03-27,E105,P001,仕様変更,低,承認待ち
B1386,2025-07-21,E102,P003,部品変更,中,却下
B1387,2025-04-12,E105,P006,部品変更,低,却下
B1388,2025-12-03,E102,P002,部品変更,高,承認待ち
B1389,2025-09-13,E105,P003,コスト変更,低,承認待ち
B1390,2025-01-25,E108,P005,部品変更,低,承認済
B1391,2025-03-11,E103,P001,図面修正,高,却下
B1392,2025-04-24,E102,P004,仕様変更,高,却下
B1393,2025-11-25,E108,P003,コスト変更,低,却下
B1394,2025-03-11,E105,P005,コスト変更,低,却下
B1395,2025-08-09,E108,P004,仕様変更,高,承認待ち
B1396,2025-04-15,E103,P004,部品変更,中,却下
B1397,2025-07-19,E103,P003,図面修正,低,申請中
B1398,2025-03-25,E102,P003,コスト変更,低,承認済
B1399,2025-04-19,E102,P004,図面修正,中,却下
B1400,2025-08-14,E106,P003,コスト変更,中,承認済
B1401,2025-07-01,E103,P004,部品変更,中,申請中
B1402,2025-06-03,E105,P005,仕様変更,中,承認待ち
B1403,2025-02-04,E102,P003,仕様変更,低,承認待ち
B1404,2025-06-07,E105,P003,図面修正,低,承認済
B1405,2025-04-23,E108,P002,図面修正,高,承認済
B1406,2025-05-27,E105,P004,コスト変更,低,申請中
B1407,2025-08-21,E108,P002,コスト変更,高,承認待ち
B1408,2025-12-24,E103,P004,部品変更,低,却下
B1409,2025-12-27,E106,P003,仕様変更,中,承認待ち
B1410,2025-07-25,E106,P002,コスト変更,中,申請中
B1411,2025-06-05,E108,P002,図面修正,低,申請中
B1412,2025-08-26,E105,P003,部品変更,中,却下
B1413,2025-11-25,E106,P006,図面修正,中,申請中
B1414,2025-10-26,E102,P002,部品変更,中,却下
B1415,2025-07-07,E106,P001,コスト変更,高,却下
B1416,2025-02-11,E108,P004,図面修正,高,承認待ち
B1417,2025-02-22,E108,P002,仕様変更,低,却下
B1418,2025-01-06,E103,P001,コスト変更,中,承認待ち
B1419,2025-04-10,E108,P001,コスト変更,高,承認済
B1420,2025-09-01,E103,P003,コスト変更,中,承認待ち
B1421,2025-02-05,E108,P004,コスト変更,低,申請中
B1422,2025-07-28,E103,P002,部品変更,中,却下
B1423,2025-12-22,E106,P002,図面修正,低,承認待ち
B1424,2025-09-23,E106,P003,部品変更,高,承認待ち
B1425,2025-08-03,E106,P005,部品変更,低,承認済
B1426,2025-10-16,E106,P004,仕様変更,低,申請中
B1427,2025-05-21,E106,P003,図面修正,中,承認待ち
B1428,2025-07-08,E103,P005,コスト変更,中,却下
B1429,2025-11-06,E108,P001,コスト変更,低,申請中
B1430,2025-04-28,E103,P003,図面修正,低,申請中
B1431,2025-12-24,E103,P004,コスト変更,低,申請中
B1432,2025-06-03,E102,P005,図面修正,中,却下
B1433,2025-03-09,E103,P005,仕様変更,中,申請中
B1434,2025-02-21,E106,P004,図面修正,低,却下
B1435,2025-04-13,E102,P001,図面修正,高,承認待ち
B1436,2025-06-22,E106,P004,コスト変更,高,申請中
B1437,2025-09-22,E103,P006,コスト変更,高,却下
B1438,2025-05-27,E103,P002,仕様変更,低,申請中
B1439,2025-03-10,E102,P005,コスト変更,高,申請中
B1440,2025-11-25,E102,P006,図面修正,高,却下
B1441,2025-06-06,E103,P006,仕様変更,低,承認待ち
B1442,2025-08-23,E102,P006,仕様変更,中,承認済
B1443,2025-08-02,E108,P001,仕様変更,中,承認待ち
B1444,2025-04-12,E103,P002,仕様変更,高,却下
B1445,2025-01-01,E105,P002,仕様変更,高,申請中
B1446,2025-11-06,E103,P001,コスト変更,低,申請中
B1447,2025-06-11,E108,P006,部品変更,低,承認待ち
B1448,2025-09-13,E106,P001,部品変更,高,申請中
B1449,2025-06-11,E103,P001,コスト変更,低,承認済
B1450,2025-01-13,E103,P004,部品変更,高,承認済
B1451,2025-11-20,E105,P001,仕様変更,高,却下
B1452,2025-05-25,E108,P004,仕様変更,低,承認待ち
B1453,2025-05-04,E108,P003,コスト変更,低,承認待ち
B1454,2025-06-06,E105,P006,コスト変更,高,承認済
